GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
25500140,1610612747,Lakers,MNL,Minneapolis,0,45,101.0,0.446,,,,27,34.0,0.794,,,,1.0,,,,26.0,117,
25500140,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,32,76.0,0.42,,,,30,38.0,0.789,,,,,,,,24.0,94,
25500143,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,36,,,,,,32,41.0,0.78,,,,,,,,26.0,104,
25500143,1610612747,Lakers,MNL,Minneapolis,0,33,,,,,,33,35.0,0.942,,,,,,,,26.0,99,
25500145,1610612755,Nationals,SYR,Syracuse,240,35,89.0,0.393,,,,29,38.0,0.763,,,,26.0,,,,28.0,99,
25500145,1610612758,Royals,ROC,Rochester,240,32,91.0,0.351,,,,24,39.0,0.614,,,,23.0,,,,28.0,88,
25500144,1610612737,Hawks,STL,St. Louis,0,36,90.0,0.4,,,,24,31.0,0.774,,,,27.0,,,,32.0,96,
25500144,1610612744,Warriors,PHW,Philadelphia,0,36,76.0,0.473,,,,36,49.0,0.734,,,,26.0,,,,23.0,108,
25500142,1610612738,Celtics,BOS,Boston,265,41,101.0,0.406,,,,33,43.0,0.767,,,,28.0,,,,30.0,115,
25500142,1610612752,Knicks,NYK,New York,265,38,112.0,0.339,,,,33,37.0,0.892,,,,28.0,,,,27.0,109,
25500147,1610612747,Lakers,MNL,Minneapolis,0,36,,,,,,25,37.0,0.676,,,,,,,,24.0,97,
25500147,1610612737,Hawks,STL,St. Louis,0,31,,,,,,24,36.0,0.667,,,,,,,,23.0,86,
25500146,1610612752,Knicks,NYK,New York,0,41,,,,,,30,40.0,0.75,,,,8.0,,,,28.0,112,
25500146,1610612758,Royals,ROC,Rochester,0,39,,,,,,29,38.0,0.763,,,,,,,,29.0,107,
25500148,1610612738,Celtics,BOS,Boston,0,30,,,,,,31,40.0,0.775,,,,,,,,32.0,91,
25500148,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,22,,,,,,41,54.0,0.759,,,,,,,,28.0,85,
25500151,1610612738,Celtics,BOS,Boston,0,34,,,,,,27,33.0,0.817,,,,,,,,21.0,95,
25500151,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,34,,,,,,22,29.0,0.759,,,,,,,,22.0,90,
25500149,1610612758,Royals,ROC,Rochester,0,36,,,,,,36,43.0,0.836,,,,,,,,33.0,108,
25500149,1610612752,Knicks,NYK,New York,0,37,,,,,,45,53.0,0.848,,,,,,,,29.0,119,
25500150,1610612747,Lakers,MNL,Minneapolis,0,40,95.0,0.42,,,,25,29.0,0.861,,,,20.0,,,,26.0,105,
25500150,1610612744,Warriors,PHW,Philadelphia,0,32,84.0,0.381,,,,28,38.0,0.736,,,,20.0,,,,21.0,94,
